cites,authors,title,year,source,publisher,article_url,cites_url,gs_rank,query_date,type,doi,ecc,cites_per_year,cites_per_author,author_count,age,abstract,full_text_url,related_url,source_file,tool_name,study_id,double_code,topic_cat_rater_1,topic_cat_rater_2,tool_use_type_rater_1,tool_use_type_rater_2,notes
10,"E Benami, R Whitaker, V La, H Lin, ...","The distributive effects of risk prediction in environmental compliance: Algorithmic design, environmental justice, and public policy",2021,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3442188.3445873,https://scholar.google.com/scholar?cites=7231562775483666091&as_sdt=2005&sciodt=2007&hl=en,214,2025-08-29,,10.1145/3442188.3445873,10,2.5,2,5,4,"… EPA’s goal is to reduce the SNC rate by 50% from 2019 to 2022, relative to a baseline from … the EJScreen ag into our assessment of distributive implications. Even though the EJScreen …",https://dl.acm.org/doi/pdf/10.1145/3442188.3445873,https://scholar.google.com/scholar?q=related:q06kowesW2QJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,117,TRUE,"Governance, policy & institutional frameworks","Governance, policy & institutional frameworks",Applied,None,EJScreen data used in analysis of environmental compliance risk (discussed in methods)
0,"E Gill, M Hallisey, R Baranowski, D Preziuso",Equitable Demonstration and Deployment Roundtable Report,2022,,osti.gov,https://www.osti.gov/biblio/1871809,,128,2025-08-29,,,0,0,0,4,3,… EJSCREEN is the Environmental Protection Agency’s justice mapping and screening tool that … EJSCREEN users choose a geographic area; the tool then provides demographic and …,https://www.osti.gov/servlets/purl/1871809,https://scholar.google.com/scholar?q=related:VCRRPg_-0HAJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,121,TRUE,Equity and justice,Equity and justice,Mentioned/Context,None,Roundtable report defines EJSCREEN; no analysis
0,H Elbeleidy,Massachusetts Residents' Proximity to Bridges,2022,,digitalrepository.salemstate.edu,https://digitalrepository.salemstate.edu/handle/20.500.13013/2607,,288,2025-08-29,,,0,0,0,1,3,"… The analysis was performed in spring and summer of 2022 for MassBudget, a public policy think tank researching and advocating for racial and economic justice in Massachusetts. …",https://digitalrepository.salemstate.edu/bitstream/handle/20.500.13013/2607/HElbeleidy_Report_Final-revised.pdf?sequence=5,https://scholar.google.com/scholar?q=related:S05hkFyQlrEJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,148,TRUE,"Transit, mobility & transportation","Transit, mobility & transportation",Applied,Applied,Transportation proximity analysis; EJScreen not central
2,"H Salih, K OBrien, D Dreye, PP Guerif, ...",FEED Study for Retrofitting Holcim US Cement Facility with CO2 Capture Plant Using Air Liquide Adsorption Assisted Cryogenic Technology,2022,Proceedings of the …,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4291335,https://scholar.google.com/scholar?cites=14111376040909930330&as_sdt=2005&sciodt=2007&hl=en,278,2025-08-29,,,2,0.67,0,5,3,"[enterThe cement industrial sector is considered one of the main producers of anthropogenic CO2, responsible for around 8% of global carbon dioxide (CO2) emissions. The main …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4291335,https://scholar.google.com/scholar?q=related:Wv9kcr6t1cMJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,152,TRUE,Energy & decarbonization,Energy & decarbonization,Mentioned/Context,None,Cement capture engineering; references EJScreen use
4,"J Axelrod, C Boyd, S Fu, K Ramos, C Balakrishnan",Lessons from Local Leaders: How Federal Agencies Can Help Ensure Data-Driven and Equity-Centric Infrastructure Investment,2022,,urban.org,https://www.urban.org/research/publication/lessons-local-leaders,https://scholar.google.com/scholar?cites=3042919543713653901&as_sdt=2005&sciodt=2007&hl=en,220,2025-08-29,,,4,1.33,1,5,3,"… Granular sources of race-disaggregated data are most widely available through the American Community Survey or tools such as CEJST or EJScreen that use those sources, so …",https://www.urban.org/sites/default/files/2022-08/Lessons%20from%20Local%20Leaders.pdf,https://scholar.google.com/scholar?q=related:jWQl8zOfOioJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,163,TRUE,"Governance, policy & institutional frameworks",Equity and justice,Mentioned/Context,Mentioned/Context,Notes CEJST/EJScreen as data sources
1,"J Byrne, J Taminiau, D Cristinzio, D Grover, ...",US Environmental Justice Challenges in the Pursuit of a Low-Carbon Energy Future,2022,Available at SSRN …,papers.ssrn.com,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4237862,https://scholar.google.com/scholar?cites=3763580740747069197&as_sdt=2005&sciodt=2007&hl=en,19,2025-08-29,,,1,0.33,0,5,3,"This report brings into focus the cumulative environmental, social, energy, economic, and climate change related risks borne by local communities and identifies potential strategies to …",https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4237862,https://scholar.google.com/scholar?q=related:DQe7T77sOjQJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,169,TRUE,Energy & decarbonization,Energy & decarbonization,Applied,Mentioned/Context,Low-carbon energy article mentions EJScreen
15,"J Xue, V Zartarian, R Tornero-Velez, ...","A generalizable evaluated approach, applying advanced geospatial statistical methods, to identify high lead exposure locations at census tract scale: Michigan case …",2022,Environmental …,ehp.niehs.nih.gov,https://ehp.niehs.nih.gov/doi/abs/10.1289/EHP9705,https://scholar.google.com/scholar?cites=15884391935327750948&as_sdt=2005&sciodt=2007&hl=en,31,2025-08-29,,10.1289/EHP9705,15,5,4,4,3,"… homes, percentage below the poverty line, and percentage non-Hispanic African Americans 13 ; we applied the model using 2012–2016 ACS data to better overlap with EJSCREEN …",https://ehp.niehs.nih.gov/doi/pdf/10.1289/EHP9705,https://scholar.google.com/scholar?q=related:JEtKWk6ycNwJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,184,TRUE,Health & well-being,Health & well-being,Applied,Applied,Aligns ACS to overlap with EJSCREEN vintage for modeling
1,K Courtney,# DenyThePermit? A Call for Cumulative Impacts Legislation by Frontline Communities,2021,Nat. Resources &Env't,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/nre36&section=33,https://scholar.google.com/scholar?cites=9498798523176573386&as_sdt=2005&sciodt=2007&hl=en,42,2025-08-29,,,1,0.25,1,1,4,"… For example, the Natural Resources Defense Council with EJ community partners created a map of cumulative impacts in Chicago by visualizing EJSCREEN environmental and …",,https://scholar.google.com/scholar?q=related:ytnxFu6C0oMJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,199,TRUE,"Governance, policy & institutional frameworks",Equity and justice,Mentioned/Context,Mentioned/Context,Calls for legislation cite EJScreen
4,"K Vu, E Ntakou, J Schlegelmilch, ...",Energy equity: Making the case for peaker plant replacement with battery energy storage,2022,2022 IEEE Electrical …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9998018/,https://scholar.google.com/scholar?cites=1436337452541796156&as_sdt=2005&sciodt=2007&hl=en,192,2025-08-29,,,4,1.33,1,4,3,"… To help quantify this disparity, EPA developed an Environmental Justice tool (EJScreen) by … EJScreen to map specifically vulnerable demographics in close proximity to power plants. …",,https://scholar.google.com/scholar?q=related:PN9XlE3l7hMJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,209,TRUE,Energy & decarbonization,Energy & decarbonization,Mentioned/Context,Mentioned/Context,EJScreen referenced in energy equity discussion
1,KM Lopez,Environmental Justice Issues and Sea Level Rise in Frontline Communities along the Gulf Coast,2021,,search.proquest.com,https://search.proquest.com/openview/66e0e64ef90ff2facdb38b840103cbbd/1?pq-origsite=gscholar&cbl=18750&diss=y,https://scholar.google.com/scholar?cites=15445846971103690563&as_sdt=2005&sciodt=2007&hl=en,34,2025-08-29,,,1,0.25,1,1,4,"Sea level rise poses a great threat to coastal areas and our way of life. As flooding increases in frequency and intensity across the country, vulnerable populations become a target to its …",https://scholarworks.utep.edu/cgi/viewcontent.cgi?article=4424&context=open_etd,https://scholar.google.com/scholar?q=related:Q7-tD_yrWtYJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,218,TRUE,Water resources & flooding,Community engagement & knowledge,Mentioned/Context,Applied,Referenced EJScreen
20,"KRE Sims, LG Lee, N Estrella-Luna, ...",Environmental justice criteria for new land protection can inform efforts to address disparities in access to nearby open space,2022,Environmental …,iopscience.iop.org,https://iopscience.iop.org/article/10.1088/1748-9326/ac6313/meta,https://scholar.google.com/scholar?cites=494926827311755918&as_sdt=2005&sciodt=2007&hl=en,48,2025-08-29,,10.1088/1748-9326/ac6313,20,6.67,5,4,3,"… We follow EJ screening methods by first identifying communities with a high degree of social marginalization due to income and race, as well as English language isolation and low …",https://iopscience.iop.org/article/10.1088/1748-9326/ac6313/pdf,https://scholar.google.com/scholar?q=related:jnK6w1NV3gYJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,222,TRUE,"Land use, housing & built environment infrastructure",Equity and justice,Applied,Mentioned/Context,Used EJScreen criteria to guide land protection
1,L Cattaneo,Wrinkling Citizen Suits: California v. EPA (9th Cir. 2020) and Clean Air Act Underenforcement,2021,Harv. Envtl. L. Rev.,HeinOnline,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/helr45&section=19,https://scholar.google.com/scholar?cites=10860376854301295124&as_sdt=2005&sciodt=2007&hl=en,133,2025-08-29,,,1,0.25,1,1,4,"… EPA's EJSCREEN tool considers six demographic indicators of potential susceptibility to environmental pollution: low-income, minority, less than high-school education, linguistic …",https://journals.law.harvard.edu/elr/wp-content/uploads/sites/79/2021/07/45-2-Cattaneo.pdf,https://scholar.google.com/scholar?q=related:FMKATzXPt5YJ:scholar.google.com/&scioq=%22ejscreen%22%7C%22epa+ejscreen%22%7C%22environmental+justice+screening+and+mapping+tool%22%7C%22epa+ej+screen%22%7C%22ej+screen%22%7C%22epa+environmental+justice+mapping+tool%22%7C%22environmental+justice+screening+tool+epa%22%7C%22ejscreen+v2.0%22%7C%22ejscreen+2020%22%7C%22ejscreen+2022%22&hl=en&as_sdt=2007&as_ylo=2021&as_yhi=2022,ejscreen_2,EJScreen,228,TRUE,"Governance, policy & institutional frameworks",Other,Mentioned/Context,None,EPA’s EJScreen tool described (six demographic indicators) in Clean Air Act litigation analysis
